p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
ZBTB7C	1.33977314760566e-11	0.551465924588557	0.153	0.009	2.87542112939126e-07	Ciliated	ZBTB7C
SLC2A1	1.34108376601859e-11	0.364305004956455	0.188	0.017	2.8782339786291e-07	Ciliated	SLC2A1
ENSMMUG00000059901	1.39064579894659e-11	0.7526555637718	0.212	0.025	2.98460401369918e-07	Ciliated	ENSMMUG00000059901
USP51	1.48845000449654e-11	0.65258471608458	0.224	0.029	3.19451139965048e-07	Ciliated	USP51
ZNHIT2	1.56619599775974e-11	0.409301211219386	0.341	0.076	3.36136985039194e-07	Ciliated	ZNHIT2
CD46	1.61925411562958e-11	0.811792502815355	0.788	0.429	3.4752431829642e-07	Ciliated	CD46
TSPAN123	1.75558668440325e-11	0.843637461403161	0.588	0.233	3.76784014206625e-07	Ciliated	TSPAN12
TULP3	1.85099151255098e-11	0.412464982634293	0.353	0.089	3.97259798423691e-07	Ciliated	TULP3
NAPEPLD1	1.90403929859381e-11	0.3796563273637	0.224	0.028	4.08644914264204e-07	Ciliated	NAPEPLD
SPSB11	2.00789608192502e-11	0.328446409469978	0.271	0.047	4.30934657102747e-07	Ciliated	SPSB1
ENSMMUG00000050016	2.05324140150378e-11	1.16158319463456	0.212	0.053	4.40666669590742e-07	Ciliated	ENSMMUG00000050016
CSRP2	2.12712230595489e-11	0.700725086935695	0.435	0.134	4.56522989304039e-07	Ciliated	CSRP2
DNAL4	2.13482520292105e-11	0.87384433987711	0.365	0.099	4.58176185050917e-07	Ciliated	DNAL4
C2H3orf14	2.14784738197799e-11	0.458803367718228	0.165	0.013	4.60971005120116e-07	Ciliated	C2H3orf14
CLINT11	2.40694575701536e-11	0.882884342272304	0.682	0.363	5.16578698370636e-07	Ciliated	CLINT1
ENSMMUG00000053817	2.46752463397299e-11	0.891664854066152	0.565	0.252	5.29580136943284e-07	Ciliated	ENSMMUG00000053817
LRG1	2.51755750619421e-11	0.320880243124193	0.141	0.008	5.40318191979401e-07	Ciliated	LRG1
RBKS	2.52495172982624e-11	0.575955568671656	0.224	0.031	5.41905140255307e-07	Ciliated	RBKS
FAM3D1	2.64124404423499e-11	0.329435698058881	0.106	0.003	5.66863796773713e-07	Ciliated	FAM3D
ECI2	2.71543665200675e-11	0.723400899889889	0.447	0.139	5.8278701425369e-07	Ciliated	ECI2
RAB28	2.81138256532759e-11	0.552601472212996	0.412	0.115	6.03378926170608e-07	Ciliated	RAB28
PAPSS1	2.88509197773788e-11	0.832456435419749	0.447	0.149	6.19198440262103e-07	Ciliated	PAPSS1
MID1	3.03878369318731e-11	0.28305460750961	0.141	0.009	6.52183756231859e-07	Ciliated	MID1
PIGA	3.06270720790544e-11	0.836663594755171	0.376	0.096	6.57318220960667e-07	Ciliated	PIGA
C13H2orf15	3.19758397484979e-11	0.553989646513553	0.294	0.057	6.86265472682262e-07	Ciliated	C13H2orf15
GALNT33	3.55757924611271e-11	0.699466915814679	0.365	0.096	7.63527657800711e-07	Ciliated	GALNT3
ATP13A31	4.07015214072701e-11	0.632875996563142	0.306	0.063	8.73536052442831e-07	Ciliated	ATP13A3
CDC14A	4.18293766827016e-11	0.388738592592187	0.329	0.096	8.97742082364141e-07	Ciliated	CDC14A
UNC93B12	4.52381673787019e-11	0.90320224874659	0.694	0.347	9.709015482817e-07	Ciliated	UNC93B1
MAP9	4.56840595251158e-11	0.585316689184269	0.318	0.067	9.80471285528036e-07	Ciliated	MAP9
ST3GAL6	4.71708640880123e-11	0.63048049237051	0.306	0.075	1.01238108505692e-06	Ciliated	ST3GAL6
AGAP31	4.72070280937016e-11	0.613201415595483	0.235	0.035	1.01315723694702e-06	Ciliated	AGAP3
TMF1	4.90072228173606e-11	0.857846772511388	0.494	0.171	1.05179301610619e-06	Ciliated	TMF1
CEP83	5.30058203982576e-11	0.287406168067297	0.176	0.017	1.1376109173874e-06	Ciliated	CEP83
CCDC88C	5.8183361375852e-11	0.749161239295634	0.459	0.147	1.24873130184853e-06	Ciliated	CCDC88C
TMEM592	5.86025606664541e-11	0.793976698784899	0.812	0.645	1.25772815702344e-06	Ciliated	TMEM59
SOD12	5.94982070500775e-11	0.865997060566849	0.741	0.523	1.27695051970876e-06	Ciliated	SOD1
GLB1L	5.97153690653387e-11	0.582945775107112	0.247	0.039	1.2816112508803e-06	Ciliated	GLB1L
PRUNE2	5.97517230413152e-11	0.711396530531682	0.212	0.027	1.28239147991271e-06	Ciliated	PRUNE2
GFPT1	6.13352408166229e-11	0.742900966978091	0.447	0.161	1.31637693840636e-06	Ciliated	GFPT1
SCG3	6.36297574681209e-11	0.257004889497958	0.129	0.006	1.36562185478081e-06	Ciliated	SCG3
USP31	6.47854509293642e-11	0.284263531597891	0.141	0.009	1.39042534784601e-06	Ciliated	USP31
TEX49	6.52781819483766e-11	0.493443065736097	0.176	0.035	1.40100034097606e-06	Ciliated	TEX49
PTPRK2	6.55645722200148e-11	0.456273062767578	0.435	0.137	1.40714684898596e-06	Ciliated	PTPRK
PAM	6.66143754148155e-11	0.501794368398361	0.471	0.16	1.42967772515277e-06	Ciliated	PAM
ENSMMUG00000017270	6.74487090917124e-11	0.550906159073038	0.282	0.052	1.44758419452633e-06	Ciliated	ENSMMUG00000017270
SNRPD2	6.90430560862745e-11	0.792685849345269	0.788	0.542	1.48180206972362e-06	Ciliated	SNRPD2
KIAA0556	6.94608106647975e-11	0.476948976125469	0.224	0.03	1.49076791848788e-06	Ciliated	KIAA0556
SPATA61	7.02576219610654e-11	0.927430395925497	0.482	0.204	1.50786908252839e-06	Ciliated	SPATA6
CLCN3	7.05555360267068e-11	0.797283257319004	0.541	0.22	1.51426291420518e-06	Ciliated	CLCN3
LRWD1	7.15945395910064e-11	0.631412082540102	0.353	0.086	1.53656200870218e-06	Ciliated	LRWD1
SIPA1L11	7.34918568853128e-11	0.736867388519141	0.412	0.118	1.57728223247258e-06	Ciliated	SIPA1L1
KAZN	7.53950927206318e-11	0.448455909373923	0.188	0.02	1.6181294799702e-06	Ciliated	KAZN
KIF5B2	7.56158877256283e-11	0.84296612311347	0.6	0.276	1.62286818236743e-06	Ciliated	KIF5B
CPEB4	7.57758291365029e-11	0.706928463984514	0.447	0.145	1.62630084492763e-06	Ciliated	CPEB4
GALNS1	7.70732267617913e-11	0.906169670330592	0.729	0.472	1.65414559276156e-06	Ciliated	GALNS
TTLL11	7.80774795106304e-11	0.4957058412725	0.282	0.053	1.67569886525715e-06	Ciliated	TTLL1
CRY21	8.51256864150521e-11	0.594646198872022	0.424	0.127	1.82696748183985e-06	Ciliated	CRY2
PKP4	8.58491523973267e-11	0.483922890262814	0.271	0.051	1.84249450875143e-06	Ciliated	PKP4
SETD4	9.39386553566676e-11	0.469731983879605	0.259	0.044	2.0161114212648e-06	Ciliated	SETD4
SUN12	9.43076798853467e-11	0.71277841207117	0.4	0.113	2.02403142569931e-06	Ciliated	SUN1
EMB1	9.67376170016510e-11	0.969538070492301	0.459	0.172	2.07618273608943e-06	Ciliated	EMB
ULK41	9.67614284726565e-11	0.768704370543092	0.235	0.044	2.07669377788015e-06	Ciliated	ULK4
CPD	1.00377908308868e-10	0.466563543517041	0.588	0.246	2.15431066812492e-06	Ciliated	CPD
SGPP21	1.01787945927194e-10	0.733121048511808	0.247	0.076	2.18457289548944e-06	Ciliated	SGPP2
SMARCA42	1.06785512955173e-10	0.76821301061268	0.553	0.227	2.29183067904392e-06	Ciliated	SMARCA4
ENSMMUG00000000453	1.09633115950199e-10	0.56218735392653	0.224	0.031	2.35294593452317e-06	Ciliated	ENSMMUG00000000453
ENSMMUG000000570461	1.10720903805245e-10	0.250604478157853	0.176	0.02	2.37629203746816e-06	Ciliated	ENSMMUG00000057046
HBS1L	1.23815358274802e-10	0.880924276361459	0.565	0.251	2.65732521929379e-06	Ciliated	HBS1L
CIT1	1.32644931769578e-10	0.485408834611561	0.165	0.02	2.84682552563868e-06	Ciliated	CIT
CEP89	1.52247605820589e-10	0.432213642737146	0.259	0.048	3.26753811612147e-06	Ciliated	CEP89
CHD62	1.58099082146712e-10	0.762438583344984	0.518	0.194	3.39312250103273e-06	Ciliated	CHD6
C8H8orf37	1.62240540394336e-10	0.253761631266006	0.165	0.015	3.48200647794325e-06	Ciliated	C8H8orf37
ENSMMUG00000049877	1.65471113191969e-10	0.599739726091065	0.176	0.017	3.55134103132604e-06	Ciliated	ENSMMUG00000049877
RETREG11	1.66159979597938e-10	0.808755945120996	0.318	0.071	3.56612548213095e-06	Ciliated	RETREG1
GCLC	1.80930647132029e-10	0.600472743453618	0.306	0.067	3.8831335487476e-06	Ciliated	GCLC
DHX40	1.9026060493631e-10	0.700728711827917	0.353	0.092	4.08337310314309e-06	Ciliated	DHX40
JRKL	2.16638535067751e-10	0.587848629169351	0.259	0.047	4.64949623962408e-06	Ciliated	JRKL
MAST2	2.22331037403214e-10	0.835260145324739	0.271	0.052	4.77166872474778e-06	Ciliated	MAST2
VLDLR1	2.23244288673024e-10	0.655820952319991	0.247	0.049	4.79126892350045e-06	Ciliated	VLDLR
PSMD9	2.42477210270395e-10	0.803385147851108	0.529	0.231	5.20404588682321e-06	Ciliated	PSMD9
TBC1D31	2.54319215480461e-10	0.35998994168178	0.176	0.018	5.45819900264165e-06	Ciliated	TBC1D31
TGM2	2.59054915026489e-10	0.740684760747672	0.435	0.142	5.5598365862985e-06	Ciliated	TGM2
TMEM191	2.65522327737839e-10	0.616238878005663	0.4	0.117	5.69864019790951e-06	Ciliated	TMEM19
TTLL12	2.67870806494437e-10	0.46641801960377	0.259	0.047	5.74904324898362e-06	Ciliated	TTLL12
IDH12	2.97476736259278e-10	0.898319115344686	0.565	0.289	6.38444571359662e-06	Ciliated	IDH1
COQ8A1	3.01338053843001e-10	0.790455296382814	0.353	0.108	6.46731731157848e-06	Ciliated	COQ8A
ENSMMUG000000219452	3.16147174623661e-10	0.478718495421811	0.2	0.026	6.78515066177301e-06	Ciliated	ENSMMUG00000021945
MARCHF6	3.19598104717906e-10	0.652341951293474	0.565	0.232	6.85921452345571e-06	Ciliated	MARCHF6
ZNF846	3.22584006472893e-10	0.279720390355695	0.212	0.03	6.92329794692123e-06	Ciliated	ZNF846
TMEM255B	3.61711732482343e-10	0.368945968602858	0.235	0.051	7.76305720253605e-06	Ciliated	TMEM255B
ENSMMUG000000304081	3.62372039164117e-10	0.807255014347906	0.788	0.575	7.77722870454027e-06	Ciliated	ENSMMUG00000030408
IGSF9	3.96062465615206e-10	0.429907488021057	0.176	0.022	8.50029263703355e-06	Ciliated	IGSF9
ENSMMUG000000286951	4.0818859244656e-10	0.581849107814557	0.129	0.263	8.76054357108806e-06	Ciliated	ENSMMUG00000028695
RASSF93	4.09884566672719e-10	0.349900843014263	0.306	0.071	8.7969425699299e-06	Ciliated	RASSF9
PHKG2	4.23807864297246e-10	1.06947854184315	0.424	0.152	9.09576438354749e-06	Ciliated	PHKG2
CPLANE1	4.33670711031643e-10	0.873464370532157	0.329	0.085	9.30744080016112e-06	Ciliated	CPLANE1
TRNAU1AP	4.50783063976453e-10	0.614181004547382	0.376	0.107	9.67470611906263e-06	Ciliated	TRNAU1AP
ADGRG1	4.62592620097378e-10	0.42945161581447	0.271	0.069	9.92816281252993e-06	Ciliated	ADGRG1
LARP1	4.66043643918556e-10	0.571117560497232	0.435	0.142	1.000222868578e-05	Ciliated	LARP1
RBM431	4.75783524186519e-10	0.699571564058039	0.471	0.164	1.02112659960911e-05	Ciliated	RBM43
PPID	5.23748303013275e-10	0.893957193970846	0.4	0.128	1.12406860792709e-05	Ciliated	PPID
EFEMP11	5.25516449413668e-10	0.607690713054636	0.459	0.157	1.12786340373161e-05	Ciliated	EFEMP1
ENSMMUG000000037802	5.30359327880999e-10	0.476951913393586	0.365	0.103	1.1382571894982e-05	Ciliated	ENSMMUG00000003780
CTNNA12	5.52222262927039e-10	0.82605546042292	0.659	0.341	1.18517942069401e-05	Ciliated	CTNNA1
ENSMMUG000000102661	5.81683220743933e-10	0.838700294447021	0.871	0.698	1.24840852836063e-05	Ciliated	ENSMMUG00000010266
LRRC45	5.92789397598274e-10	0.327338901202316	0.224	0.036	1.27224460512542e-05	Ciliated	LRRC45
DNAAF2	5.93232528282663e-10	0.5433208255441	0.353	0.093	1.27319565220025e-05	Ciliated	DNAAF2
KCTD17	6.06934157966149e-10	0.762010783141782	0.306	0.07	1.30260208982695e-05	Ciliated	KCTD17
IRAK1BP11	6.33092504576848e-10	0.516361025154508	0.318	0.076	1.35874313332283e-05	Ciliated	IRAK1BP1
WLS1	6.64805040981783e-10	0.839832084468601	0.518	0.213	1.4268045789551e-05	Ciliated	WLS
PXK	6.96528926626698e-10	0.691424608970635	0.365	0.101	1.49489038232622e-05	Ciliated	PXK
ENSMMUG00000060451	7.08827630477816e-10	0.439154701255875	0.2	0.026	1.52128586053149e-05	Ciliated	ENSMMUG00000060451
SLC25A14	7.09139659155262e-10	0.573591247306044	0.188	0.023	1.52195553647902e-05	Ciliated	SLC25A14
FGFR1OP	7.29994326387115e-10	0.415096519116975	0.235	0.04	1.56671382329203e-05	Ciliated	FGFR1OP
PPP4R3B	7.65436794053052e-10	0.88077849538473	0.459	0.183	1.64278044739666e-05	Ciliated	PPP4R3B
UBA7	8.21458255813258e-10	0.491572131392639	0.424	0.142	1.76301370862641e-05	Ciliated	UBA7
UBE2D12	8.27542339321574e-10	0.84621385053514	0.624	0.345	1.77607136865196e-05	Ciliated	UBE2D1
ZSCAN5A	8.94431907667886e-10	0.470151102405826	0.2	0.028	1.91962976023682e-05	Ciliated	ZSCAN5A
AGO4	8.94656774131512e-10	0.665254854237632	0.318	0.077	1.92011236864105e-05	Ciliated	AGO4
NFIB	9.1409731205993e-10	0.362854271115223	0.376	0.117	1.96183565114302e-05	Ciliated	NFIB
FAM214A	9.74043659098482e-10	0.604326691221224	0.294	0.065	2.09049250115716e-05	Ciliated	FAM214A
KIF26B	9.79091263628425e-10	0.382012472758255	0.165	0.016	2.10132566999933e-05	Ciliated	KIF26B
GOLM12	9.84104601774187e-10	0.887040444042293	0.365	0.102	2.11208529632776e-05	Ciliated	GOLM1
TXNL4B	9.88042357251128e-10	0.746660984218346	0.294	0.069	2.12053650713237e-05	Ciliated	TXNL4B
ITGB8	1.0203162275628e-09	0.286853415576901	0.129	0.008	2.18980268759529e-05	Ciliated	ITGB8
USP431	1.08629024327012e-09	0.426437848614913	0.165	0.017	2.33139612010634e-05	Ciliated	USP43
PIBF13	1.11914537977319e-09	0.735081986037642	0.447	0.159	2.40190981406922e-05	Ciliated	PIBF1
C4orf471	1.13277116479047e-09	0.454804008284434	0.188	0.03	2.43115347387331e-05	Ciliated	C4orf47
CETN31	1.3264739840229e-09	0.696716647320549	0.329	0.086	2.84687846450996e-05	Ciliated	CETN3
PPP1R371	1.34587876672365e-09	0.646660701892289	0.353	0.098	2.88852500914229e-05	Ciliated	PPP1R37
CAPN91	1.3754228266073e-09	0.351928497489837	0.118	0.006	2.95193247046459e-05	Ciliated	CAPN9
ENSMMUG000000536131	1.46560913819077e-09	0.42909324671327	0.118	0.007	3.14549033238503e-05	Ciliated	ENSMMUG00000053613
SDC42	1.51497352165291e-09	0.599793089902715	0.518	0.217	3.25143617217147e-05	Ciliated	SDC4
TBX11	1.58548678492961e-09	0.359206181857676	0.212	0.032	3.40277173781592e-05	Ciliated	TBX1
DHRS31	1.60234842186477e-09	0.755059637860685	0.435	0.149	3.43896018300617e-05	Ciliated	DHRS3
LARS11	1.62242351095594e-09	0.894607256587025	0.447	0.187	3.48204533921364e-05	Ciliated	LARS1
ENSMMUG00000005236	1.62286329302608e-09	0.307974827413739	0.129	0.009	3.48298919949256e-05	Ciliated	ENSMMUG00000005236
ENSMMUG00000047184	1.62650148304626e-09	0.386931912462748	0.153	0.018	3.49079748291389e-05	Ciliated	ENSMMUG00000047184
ENSMMUG00000056718	1.63637457281974e-09	0.30618048336869	0.106	0.005	3.51198710818572e-05	Ciliated	ENSMMUG00000056718
NFE2L3	1.7335054864174e-09	0.577590108727807	0.294	0.067	3.72044947494901e-05	Ciliated	NFE2L3
GTF2I2	1.74788320458036e-09	0.87724824737509	0.682	0.374	3.75130693367038e-05	Ciliated	GTF2I
ENSMMUG00000057462	1.81179780450863e-09	0.342497500236822	0.188	0.025	3.88848044803641e-05	Ciliated	ENSMMUG00000057462
MYO5C3	1.82911722311893e-09	0.474149908892802	0.271	0.061	3.92565138425784e-05	Ciliated	MYO5C
CCSER1	1.85079320535926e-09	0.5242382975758	0.153	0.015	3.97217237734205e-05	Ciliated	CCSER1
ASXL1	1.87601052124893e-09	0.29809505325416	0.282	0.066	4.02629378070446e-05	Ciliated	ASXL1
DLG31	1.87837645708721e-09	0.78787516601683	0.282	0.068	4.03137155220057e-05	Ciliated	DLG3
CFAP410	2.15246369272589e-09	0.657594742837572	0.482	0.183	4.61961757732831e-05	Ciliated	CFAP410
STBD11	2.1933054339099e-09	0.744480421146071	0.271	0.065	4.70727212225742e-05	Ciliated	STBD1
ELOF1	2.20404769525691e-09	0.726809444953819	0.459	0.18	4.73032716356038e-05	Ciliated	ELOF1
GNE	2.3169711690167e-09	0.494202443038092	0.212	0.033	4.97268352294364e-05	Ciliated	GNE
ENSMMUG000000094061	2.38681071473806e-09	0.54799164638009	0.341	0.093	5.12257315597083e-05	Ciliated	ENSMMUG00000009406
ATG9A2	2.42948175344172e-09	0.497782014298817	0.388	0.12	5.21415373923662e-05	Ciliated	ATG9A
TBC1D22B	2.4466074280399e-09	0.374448489058913	0.212	0.035	5.25090886205924e-05	Ciliated	TBC1D22B
FTO	2.56163080098068e-09	0.534806094621382	0.388	0.12	5.49777202506473e-05	Ciliated	FTO
PTPRF3	2.61733071340948e-09	0.659788943157282	0.412	0.137	5.61731517711943e-05	Ciliated	PTPRF
NR2F61	2.67108103262126e-09	0.639772686045399	0.282	0.067	5.73267411221175e-05	Ciliated	NR2F6
KTN11	2.74704997115593e-09	0.903084679799292	0.718	0.437	5.89571864809485e-05	Ciliated	KTN1
AOPEP1	2.82857472376864e-09	0.306493005670799	0.424	0.158	6.07068707215226e-05	Ciliated	AOPEP
C11H12orf10	3.01925164808523e-09	0.635357928238103	0.412	0.136	6.47991788712053e-05	Ciliated	C11H12orf10
C1H1orf1981	3.17889168517778e-09	0.303635345232371	0.247	0.05	6.82253733472856e-05	Ciliated	C1H1orf198
NUBPL	3.41846035746324e-09	0.323155432996287	0.224	0.041	7.3366996191876e-05	Ciliated	NUBPL
PSIP1	3.48586637839021e-09	0.623487025810809	0.635	0.309	7.48136642130108e-05	Ciliated	PSIP1
LGR4	3.55660230194374e-09	0.314671272766266	0.129	0.01	7.63317986043167e-05	Ciliated	LGR4
ENSMMUG00000048973	3.56447978960618e-09	0.670407258607084	0.494	0.201	7.65008652445277e-05	Ciliated	ENSMMUG00000048973
CCL2	3.68623998906934e-09	0.851284500324354	0.212	0.034	7.91140826454061e-05	Ciliated	CCL2
ELMO33	3.78149901122513e-09	0.491649111034542	0.271	0.062	8.11585317789137e-05	Ciliated	ELMO3
CYSTM12	4.01681486092595e-09	0.744998279082261	0.718	0.429	8.62088805451928e-05	Ciliated	CYSTM1
FBXO11	4.08316906374036e-09	0.695082776724175	0.365	0.111	8.76329744459956e-05	Ciliated	FBXO11
ENSMMUG000000319441	4.26689321664221e-09	0.445726401089133	0.141	0.012	9.15760622155751e-05	Ciliated	ENSMMUG00000031944
GDPGP1	4.34205552485976e-09	0.410804577190359	0.2	0.03	9.31891956745403e-05	Ciliated	GDPGP1
TTF1	4.37045795482598e-09	0.583443141360487	0.412	0.137	9.37987686264751e-05	Ciliated	TTF1
ARHGAP33	4.37361159513751e-09	0.480569915258679	0.141	0.012	9.38664520548413e-05	Ciliated	ARHGAP33
WHRN	4.39012055458583e-09	0.496834850798218	0.106	0.009	9.42207673425212e-05	Ciliated	WHRN
GLT8D11	4.51379656373166e-09	0.542570837250097	0.424	0.145	9.68751018508089e-05	Ciliated	GLT8D1
OXCT1	4.75367222271851e-09	0.592617898158143	0.294	0.071	0.000102023313243985	Ciliated	OXCT1
DLL1	4.95821020728018e-09	0.458142798446668	0.153	0.02	0.000106413107468647	Ciliated	DLL1
DDO	5.04188034354193e-09	0.408324287661394	0.153	0.015	0.000108208835933097	Ciliated	DDO
CLEC2B	5.11394717595828e-09	0.623934831945215	0.459	0.174	0.000109755534290417	Ciliated	CLEC2B
ENSMMUG00000031051	5.41312327136189e-09	0.27631195495134	0.153	0.015	0.000116176451649969	Ciliated	ENSMMUG00000031051
SSBP3	5.55097836942201e-09	0.476660779834294	0.365	0.117	0.000119135097764535	Ciliated	SSBP3
PRKD2	5.55414481953163e-09	0.387113868014737	0.329	0.102	0.000119203056116788	Ciliated	PRKD2
CERS6	5.85238207485117e-09	0.420664749433638	0.353	0.105	0.000125603824090456	Ciliated	CERS6
TRA2A	5.87172295830295e-09	0.762580357607205	0.647	0.341	0.000126018918131098	Ciliated	TRA2A
IPO4	5.93825028722534e-09	0.535617909015778	0.247	0.052	0.00012744672766443	Ciliated	IPO4
TTLL4	5.94288637153532e-09	0.532447912895929	0.224	0.039	0.000127546227305891	Ciliated	TTLL4
S100A62	5.94408662548007e-09	0.56804999661441	0.988	0.897	0.000127571987156053	Ciliated	S100A6
C2CD2L	5.98371330289061e-09	0.624725732447822	0.294	0.071	0.000128422454906638	Ciliated	C2CD2L
LMNTD2	6.01502169214383e-09	0.425368034654481	0.118	0.008	0.000129094395556791	Ciliated	LMNTD2
CSTF3	6.0868976400208e-09	0.555927950289218	0.282	0.066	0.000130636997150126	Ciliated	CSTF3
PGAP1	6.17465935054176e-09	0.466585650865831	0.2	0.031	0.000132520538981327	Ciliated	PGAP1
ZBED12	6.20567825957167e-09	0.822189258201977	0.588	0.305	0.000133186266806927	Ciliated	ZBED1
EPCAM3	6.60105531088737e-09	0.670453606961038	0.471	0.187	0.000141671849082265	Ciliated	EPCAM
ATP6V1D	6.68139415550138e-09	0.908893629662876	0.529	0.261	0.000143396081365371	Ciliated	ATP6V1D
ADCK5	6.94905015636916e-09	0.468411454141357	0.341	0.1	0.000149140514455995	Ciliated	ADCK5
ATP8B11	7.09201246791624e-09	0.432855864688887	0.188	0.026	0.000152208771586418	Ciliated	ATP8B1
YBX31	7.16609032636389e-09	0.52196564594578	0.576	0.261	0.000153798630584422	Ciliated	YBX3
PRDX23	7.65225873719098e-09	0.694646840643357	0.541	0.233	0.000164232777017593	Ciliated	PRDX2
TRIM132	7.82043126952558e-09	0.370853816289064	0.353	0.106	0.000167842095906558	Ciliated	TRIM13
ATP9A2	7.93633659441645e-09	0.46354999814942	0.247	0.05	0.000170329655989366	Ciliated	ATP9A
SLC46A1	8.03300569327558e-09	0.600331777219778	0.2	0.066	0.000172404368189081	Ciliated	SLC46A1
XPO1	8.50692075899915e-09	0.766936909832629	0.518	0.219	0.00018257553332964	Ciliated	XPO1
XRCC1	8.66603264866623e-09	0.666888017751508	0.459	0.175	0.000185990392705675	Ciliated	XRCC1
NGRN	8.68349944379472e-09	0.729340241573797	0.6	0.29	0.000186365265062722	Ciliated	NGRN
SLC12A7	8.70749680818988e-09	0.693062167359553	0.376	0.123	0.000186880296497371	Ciliated	SLC12A7
C7H15orf62	8.7717416659652e-09	0.367290809534686	0.282	0.067	0.000188259119634945	Ciliated	C7H15orf62
MT2A	8.88387455073895e-09	1.31391465869583	0.706	0.483	0.000190665715607959	Ciliated	MT2A
IRX32	8.91536441580015e-09	0.447169654405162	0.365	0.113	0.000191341551091903	Ciliated	IRX3
MIOS	9.28009127352853e-09	0.402198477964579	0.2	0.031	0.000199169318912469	Ciliated	MIOS
TM9SF3	9.80169257430172e-09	0.836966219426461	0.576	0.317	0.000210363926029663	Ciliated	TM9SF3
CHST6	1.06529818556419e-08	0.255040981894839	0.118	0.012	0.000228634296585786	Ciliated	CHST6
SMARCA2	1.09341739908549e-08	0.801284780371267	0.612	0.321	0.000234669242191728	Ciliated	SMARCA2
SRSF61	1.12552136051644e-08	0.883409304860812	0.624	0.34	0.000241559394394038	Ciliated	SRSF6
PLAAT3	1.13737961866798e-08	0.795477753418693	0.659	0.372	0.000244104413758522	Ciliated	PLAAT3
RPAP3	1.14264236707312e-08	0.602609408265039	0.329	0.093	0.000245233904821233	Ciliated	RPAP3
PER21	1.16609697358948e-08	0.555949525531747	0.271	0.062	0.000250267732471775	Ciliated	PER2
NEBL1	1.22135637497195e-08	0.365744226510794	0.212	0.036	0.000262127505196481	Ciliated	NEBL
ENSMMUG000000628941	1.22719920629261e-08	1.26730147736436	0.129	0.25	0.00026338149365452	Ciliated	ENSMMUG00000062894
ENSMMUG00000007004	1.2637817311229e-08	0.314491491317438	0.141	0.016	0.000271232835133597	Ciliated	ENSMMUG00000007004
USP543	1.27206879350471e-08	0.696655772620515	0.247	0.064	0.000273011404461981	Ciliated	USP54
LENG1	1.3507516658527e-08	0.883824738656272	0.494	0.217	0.000289898322525307	Ciliated	LENG1
TMEM234	1.38690786930236e-08	0.524287912426651	0.282	0.068	0.000297658166909673	Ciliated	TMEM234
SBNO1	1.46853588784426e-08	0.3147057595773	0.365	0.12	0.000315177172249134	Ciliated	SBNO1
DDX602	1.49372555031416e-08	0.98724848928981	0.506	0.241	0.000320583377608425	Ciliated	DDX60
ENSMMUG00000052220	1.54550123987243e-08	0.580336476670968	0.376	0.123	0.000331695476101421	Ciliated	ENSMMUG00000052220
RHBDD31	1.54954603675637e-08	0.714606843788529	0.282	0.081	0.000332563570408653	Ciliated	RHBDD3
KDELR3	1.57898428133342e-08	0.482119383221684	0.247	0.055	0.000338881606459779	Ciliated	KDELR3
LSS	1.6818456499344e-08	0.54210552289952	0.247	0.057	0.000360957713388921	Ciliated	LSS
RHOXF1	1.71381124832282e-08	0.50390291489049	0.141	0.014	0.000367818170115045	Ciliated	RHOXF1
SETD2	1.71609810667257e-08	0.539986076254581	0.529	0.23	0.000368308975654068	Ciliated	SETD2
ENSMMUG00000013257	1.7562844531507e-08	0.816624637305994	0.294	0.085	0.000376933769335203	Ciliated	ENSMMUG00000013257
SGPL1	1.81170429067601e-08	0.328357800471764	0.306	0.084	0.000388827974864886	Ciliated	SGPL1
ARFGAP1	1.8593488328607e-08	0.367172562835934	0.271	0.065	0.000399053446508562	Ciliated	ARFGAP1
PRR14L1	1.98409905516079e-08	0.61850541141915	0.4	0.144	0.000425827339218608	Ciliated	PRR14L
ENSMMUG00000053146	2.13256008443438e-08	0.718269866927991	0.765	0.484	0.000457690045321307	Ciliated	ENSMMUG00000053146
ARHGEF381	2.20848948173905e-08	0.416585164115478	0.165	0.03	0.000473986012570836	Ciliated	ARHGEF38
LRBA1	2.29779587940493e-08	0.640084347029374	0.471	0.187	0.000493152951637885	Ciliated	LRBA
CD1641	2.31346999876012e-08	0.744646048479168	0.776	0.574	0.000496516931133897	Ciliated	CD164
ENSMMUG00000031562	2.33266583967907e-08	0.54738891540979	0.294	0.077	0.000500636742511922	Ciliated	ENSMMUG00000031562
MAGI32	2.41547399411841e-08	0.409442920382914	0.282	0.071	0.000518409028617692	Ciliated	MAGI3
RBPMS2	2.55252203639009e-08	0.462380695158126	0.353	0.11	0.00054782227945004	Ciliated	RBPMS
LENG81	2.55663155098616e-08	0.669469585951206	0.635	0.328	0.00054870426347265	Ciliated	LENG8
SLC20A2	2.60037005115016e-08	0.367391005390363	0.235	0.048	0.000558091420377848	Ciliated	SLC20A2
CEP97	2.67902851389863e-08	0.423338811275655	0.165	0.021	0.000574973099652924	Ciliated	CEP97
OSBPL3	2.74646977019209e-08	0.458787529532519	0.165	0.021	0.000589447342078627	Ciliated	OSBPL3
